,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
16,ma_FKFK_nnlo_log_logSq_sunset_FV_bijnens,1.1799(30),-0.00380(68),56.81135991402323,1.6552698239636825,0.04333338760836829,10,-0.0013(12),-0.00120(56),0.00029(14),0.00034(16),-0.0030(14),-0.00006(10),-0.00032(17),0.00020(10),,-0.75(52),2.3(3.8),-4.1(2.5),,
17,ma_FKFK_nnlo_log_logSq_sunset_a4_FV_bijnens,1.1829(52),-0.00388(70),53.56131686892601,1.6418953394712914,0.045974385329441037,10,-0.0014(12),-0.00101(59),0.00029(14),0.00034(16),-0.0029(14),-0.00006(10),-0.00031(17),0.00020(10),,-2.2(2.1),2.1(3.4),-3.7(2.2),,20(27)
18,ma_FKFK_nnlo_log_logSq_sunset_FV,1.1803(29),-0.00381(68),57.14984201676512,1.6977213235120587,0.03582700462603989,10,-0.0025(21),-0.00059(83),7(290)e-06,0.00001(33),-0.0004(26),7(1000)e-07,0.00013(33),0.00002(20),,-0.57(52),1.5(2.4),-2.4(1.7),,
19,ma_FKFK_nnlo_log_logSq_sunset_a4_FV,1.1844(52),-0.00393(70),54.24246903136732,1.6691511215475745,0.040736621447524525,10,-0.0027(24),-0.00028(90),0.00001(29),0.00003(33),-0.0001(26),4(1000)e-07,0.00020(32),0.00003(20),,-2.6(2.2),1.2(1.9),-1.9(1.5),,27(27)
20,ma_FKFK_nnlo_logSq_sunset_FV,1.1776(20),-0.00373(68),57.569366881887944,1.8548565864001485,0.017189913674301834,10,-0.00109(16),0.000329(95),,,,,,,,0.52(27),0.003(120),-0.006(120),,
21,ma_FKFK_nnlo_logSq_sunset_a4_FV,1.1868(50),-0.00399(70),55.947453093661956,1.620350197594666,0.05053134799104871,10,-0.00099(15),0.00053(14),,,,,,,,-3.7(2.1),-0.0002(620),0.0005(620),,52(26)
22,ma_FKFK_nnlo_FV,1.1794(20),-0.00379(68),59.697468413454025,1.6028022357879637,0.054534504619830455,10,-0.00169(14),0.000472(88),,,,,,,,0.35(27),2e-11 +- 1e-05,-3e-11 +- 1e-05,,
23,ma_FKFK_nnlo_a4_FV,1.1904(55),-0.00409(70),58.21781103467365,1.3351295226989188,0.1593703415263058,10,-0.0009(14),0.00112(69),,,,,,,,-4.5(2.2),-0.5(2.2),1.1(1.9),,63(29)
24,ma_FKFK_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.183(14),-0.00388(79),55.46734644020462,1.6560827954966784,0.04317731602956719,10,-0.0014(13),-0.00115(59),0.00029(14),0.00034(16),-0.0030(14),-0.00006(10),-0.00031(17),0.00020(10),,-4(17),2.3(3.8),-4.1(2.4),5(25),
25,ma_FKFK_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.171(18),-0.00356(84),52.87110345600173,1.6331716966838214,0.04777345676900977,10,-0.0013(12),-0.00101(59),0.00029(14),0.00034(16),-0.0028(14),-0.00006(10),-0.00030(17),0.00020(10),,14(24),1.8(3.1),-3.2(2.1),-27(40),43(43)
