,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
175,ma-ratio_FpiFpi_nnlo_alphaS_a4,1.189(24),-0.00406(96),33.66269889460197,2.416392793670935,0.0009096045007255864,0,-0.00010(28),0.00034(78),,,,,,,,10(20),0.7(2.6),3.85(94),-21(33),56(37)
176,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_FV_bijnens,1.1897(32),-0.00407(69),50.77525831221179,1.7008984789059185,0.03531538820846414,10,0.00063(20),-0.00181(52),0.00028(14),0.00029(16),-0.0056(14),-0.000052(99),-0.00032(17),0.00021(10),,-0.74(41),2.2(1.6),0.9(1.7),,
177,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,1.1959(59),-0.00425(71),43.394087972752075,1.6026135415276483,0.054579032514950665,10,0.00048(23),-0.00148(59),0.00028(14),0.00029(16),-0.0055(14),-0.00006(10),-0.00031(17),0.00021(10),,-2.7(1.6),0.7(2.0),-0.2(1.8),,29(23)
178,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_FV,1.1882(33),-0.00403(69),51.446086261977435,1.6133858456138386,0.052087829812627454,10,0.00093(29),-0.00266(79),-0.00004(29),-0.00011(32),-0.0071(22),6(99)e-06,0.00004(33),0.00002(20),,-1.16(46),1.8(1.9),-1.1(3.0),,
179,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_a4_FV,1.1943(57),-0.00420(71),44.1288463909667,1.5082852834272005,0.08125717651727724,10,0.00079(31),-0.00235(83),-0.00003(29),-0.00010(32),-0.0070(22),9(991)e-07,0.00009(33),0.00002(20),,-3.2(1.6),0.3(2.2),-1.8(2.8),,29(22)
180,ma-ratio_FpiFpi_nnlo_logSq_sunset_FV,1.1916(29),-0.00413(69),48.60828888915678,2.0086778234637848,0.00803548925477243,10,0.00030(15),-0.00092(42),,,,,,,,-0.22(44),3.9(1.5),2.51(86),,
181,ma-ratio_FpiFpi_nnlo_logSq_sunset_a4_FV,1.2003(75),-0.00437(73),41.1370954778829,1.8993594195762773,0.013850083213507456,10,0.00003(27),-0.00021(71),,,,,,,,-2.4(1.8),1.6(2.4),1.9(1.0),,35(27)
182,ma-ratio_FpiFpi_nnlo_FV,1.1931(28),-0.00417(69),47.483214705935886,2.1263182833431067,0.004383159461090425,10,0.00018(15),-0.00053(43),,,,,,,,-0.02(46),3.9(1.5),3.53(85),,
183,ma-ratio_FpiFpi_nnlo_a4_FV,1.2024(78),-0.00443(73),40.06465740390648,2.009028900928913,0.008021210407166355,10,-0.00009(27),0.00020(72),,,,,,,,-2.3(1.8),1.6(2.5),3.01(96),,36(28)
184,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.204(17),-0.00448(85),47.73125206602754,1.6567437004364831,0.04305080847083542,10,0.00053(23),-0.00159(59),0.00028(14),0.00029(16),-0.0056(14),-0.00005(10),-0.00032(17),0.00021(10),,-13(14),1.4(1.9),0.1(1.8),18(21),
185,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.194(21),-0.00418(90),40.628067224411815,1.601839652726316,0.05476199016058399,10,0.00049(24),-0.00149(60),0.00028(14),0.00029(16),-0.0055(14),-0.00006(10),-0.00031(17),0.00021(10),,-0.6(18.8),0.7(2.0),-0.1(1.9),-4(31),31(33)
186,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_FV,1.204(17),-0.00447(84),48.463769592935435,1.5590227012024052,0.06576472516813064,10,0.00083(31),-0.00245(82),-0.00003(29),-0.00011(32),-0.0072(22),3(99)e-06,0.00006(33),0.00002(20),,-14(13),0.9(2.1),-1.7(2.9),19(20),
187,ma-ratio_FpiFpi_nnlo_log_logSq_sunset_alphaS_a4_FV,1.194(20),-0.00418(89),41.33347154145658,1.5081876516775556,0.08128978413394566,10,0.00079(31),-0.00235(83),-0.00003(29),-0.00010(32),-0.0070(22),10(991)e-07,0.00009(33),0.00002(20),,-2(18),0.3(2.2),-1.7(2.8),-1(31),29(32)
188,ma-ratio_FpiFpi_nnlo_logSq_sunset_alphaS_FV,1.206(21),-0.00452(91),45.48398561465655,1.9772099379486945,0.009417008572215436,10,0.00015(26),-0.00055(70),,,,,,,,-11(15),3.0(2.0),2.23(96),17(24),
