,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol corr,L_4,L_5,A_a,A_k,A_p,A_loga
81,xpt-ratio_FKFpi_nnlo_logSq,1.1836(32),-0.00390(69),56.12193820151264,2.2949674270341687,0.0022962767721299536,0,0.0078(43),0.0002(12),-3.75(34),3.5(1.5),-0.49(85),
82,xpt-ratio_FKFpi_nnlo_alphaS,1.1806(41),-0.00382(69),57.5579045397222,2.0379997136796053,0.008325641755670047,0,0.0044(36),0.0003(12),-3.0(2.8),4.1(1.6),-0.06(88),-1.1(4.2)
83,xpt-ratio_FKFpi_nnlo_alphaS_logSq,1.1826(43),-0.00388(69),55.991755465791634,2.2886809246667044,0.002372024796777373,0,0.0078(43),0.0001(12),-2.9(2.8),3.5(1.5),-0.52(85),-1.3(4.2)
84,xpt-ratio_FKFpi_nnlo_FV,1.1835(32),-0.00390(69),64.85656100792086,0.6944210652188035,0.8025990220559169,10,-0.00284(38),-0.00125(25),-4.08(20),4.5(1.9),4.1(1.0),
85,xpt-ratio_FKFpi_nnlo_FV_logSq,1.1831(33),-0.00389(69),64.15218500120457,0.753263253240318,0.7403778106242376,10,-0.00255(32),-0.00189(32),-3.87(27),6.6(2.0),4.8(1.0),
86,xpt-ratio_FKFpi_nnlo_FV_alphaS,1.1827(43),-0.00388(69),64.69313896905726,0.6908442724508217,0.8061705102667959,10,-0.00284(38),-0.00125(25),-3.4(2.8),4.5(1.9),4.1(1.0),-1.0(4.1)
87,xpt-ratio_FKFpi_nnlo_FV_alphaS_logSq,1.1823(44),-0.00387(69),64.00142090836124,0.7494293857601751,0.7446080045622121,10,-0.00254(33),-0.00190(33),-3.2(2.8),6.6(2.0),4.7(1.0),-1.0(4.1)
88,xpt-ratio_FpiFpi_nnlo,1.1846(41),-0.00393(69),56.552160242726146,2.2136069194016432,0.003482788130263038,0,0.0053(34),0.0012(11),-2.93(22),2.0(1.0),1.31(52),
89,xpt-ratio_FpiFpi_nnlo_logSq,1.1868(37),-0.00399(69),51.3342877333341,2.8671374076228853,0.00010181989355196759,0,0.0093(44),0.0021(13),-2.81(23),0.43(99),1.45(50),
90,xpt-ratio_FpiFpi_nnlo_alphaS,1.1843(53),-0.00392(70),56.373052223364255,2.2130378288073813,0.003492855454725639,0,0.0053(34),0.0012(11),-2.7(2.8),2.0(1.0),1.31(53),-0.4(4.1)
91,xpt-ratio_FpiFpi_nnlo_alphaS_logSq,1.1865(50),-0.00399(70),51.153946960649726,2.8666689852634866,0.00010209164783091724,0,0.0093(44),0.0021(13),-2.6(2.8),0.43(99),1.45(51),-0.4(4.1)
92,xpt-ratio_FpiFpi_nnlo_FV,1.1882(48),-0.00403(70),63.795795896857655,0.854932390325356,0.6226200309533989,10,-0.00248(28),-0.00155(24),-3.45(18),5.5(1.4),4.85(79),
93,xpt-ratio_FpiFpi_nnlo_FV_logSq,1.1888(40),-0.00405(70),57.20716560206319,2.067058412288072,0.007227468747921897,10,0.0034(32),0.00045(94),-3.06(24),0.7(1.1),1.76(61),
94,xpt-ratio_FpiFpi_nnlo_FV_alphaS,1.1877(60),-0.00402(71),63.617229423282566,0.8536661103289597,0.6241264625038949,10,-0.00248(28),-0.00155(24),-3.1(2.7),5.5(1.4),4.84(80),-0.6(4.1)
95,xpt-ratio_FpiFpi_nnlo_FV_alphaS_logSq,1.1884(52),-0.00404(70),57.02803426521556,2.066350568280397,0.0072525130499114165,10,0.0034(32),0.00044(94),-2.8(2.8),0.7(1.1),1.76(61),-0.4(4.1)
