,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,L_4,L_5,L_1,L_2,L_3,L_6,L_7,L_8,L_9,A_a,A_k,A_p,A_loga,A_aa
10,ma_FKFK_nnlo_logSq_sunset_FV,1.1904(50),-0.00409(70),35.701326087025926,1.0548717094276996,0.3937393982286406,10,0.0041(25),0.00444(94),,,,,,,,0.11(78),-6.1(4.3),7.8(2.5),,
11,ma_FKFK_nnlo_FV,1.1899(49),-0.00408(70),36.44039002890076,0.9244985164401288,0.50902226645264,10,0.0029(25),0.00400(98),,,,,,,,-0.007(777),-5.0(4.3),7.0(2.5),,
12,ma_FKFK_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.1764(48),-0.00370(69),29.079221640001176,2.0442499416078816,0.025334514359729082,10,-0.0016(13),-0.00142(82),0.00029(14),0.00034(16),-0.0026(15),-0.00006(10),-0.00030(17),0.00021(10),,-0.09(2.80),2.6(4.6),-4.4(3.5),-0.5(4.2),
13,ma_FKFK_nnlo_log_logSq_sunset_alphaS_FV,1.1795(43),-0.00379(69),30.39159650103705,2.0134521466570776,0.02800571006560371,10,0.0010(48),0.00165(82),0.00002(29),0.00008(32),0.0036(25),-3(100)e-06,0.00014(33),0.00002(20),,0.2(2.8),2.1(4.2),-1.3(3.0),-0.3(4.2),
14,ma_FKFK_nnlo_logSq_sunset_alphaS_FV,1.1905(54),-0.00410(70),35.52718738219708,1.0547633422107858,0.3938288808901706,10,0.0041(25),0.00444(94),,,,,,,,0.02(2.79),-6.1(4.3),7.8(2.5),0.1(4.2),
15,ma_FKFK_nnlo_alphaS_FV,1.1899(53),-0.00408(70),36.26584786466046,0.9244819837690674,0.5090377220599687,10,0.0029(25),0.00400(98),,,,,,,,-0.04(2.79),-5.0(4.3),7.0(2.5),0.05(4.20),
16,ma_FKFpi_nnlo_log_logSq_sunset_bijnens,1.1833(38),-0.00390(69),30.43433377270303,1.902799666302892,0.03990851981041987,0,-8(2146)e-06,0.00058(99),0.00024(12),0.00023(11),-0.0026(15),-0.00010(10),-0.00032(17),0.00015(10),,0.53(71),-1.1(4.3),2.2(2.2),,
17,ma_FKFpi_nnlo_log_logSq_sunset,1.1845(40),-0.00393(69),31.607920173341583,1.7047710073687061,0.07331492135453621,0,0.0007(48),0.00201(83),0.00001(24),0.00002(22),0.0020(26),3(100)e-06,0.00007(34),9(142)e-06,,0.39(71),-1.5(3.8),0.8(3.1),,
18,ma_FKFpi_nnlo_logSq_sunset,1.1903(51),-0.00409(70),32.877605709247945,1.3306399155480353,0.20704163929371586,0,0.0002(13),0.0030(13),,,,,,,,-0.08(81),-4.4(4.6),8.6(3.4),,
19,ma_FKFpi_nnlo,1.1910(49),-0.00411(70),32.87970261112974,1.3645734651222663,0.18977252513936613,0,-0.0003(13),0.0028(13),,,,,,,,-0.05(79),-4.0(4.6),8.2(3.4),,
20,ma_FKFpi_nnlo_log_logSq_sunset_alphaS_bijnens,1.1833(45),-0.00390(69),30.25966663209667,1.9027986405446773,0.039908649045292524,0,-7(2147)e-06,0.00058(99),0.00024(12),0.00023(11),-0.0026(15),-0.00010(10),-0.00032(17),0.00015(10),,0.5(2.8),-1.1(4.3),2.2(2.2),-0.01(4.20),
21,ma_FKFpi_nnlo_log_logSq_sunset_alphaS,1.1845(46),-0.00393(69),31.433157925100087,1.7047614668995763,0.0733170059174373,0,0.0007(48),0.00201(83),0.00001(24),0.00002(22),0.0020(26),3(100)e-06,0.00007(34),9(142)e-06,,0.4(2.8),-1.5(3.8),0.8(3.1),-0.04(4.20),
22,ma_FKFpi_nnlo_logSq_sunset_alphaS,1.1903(56),-0.00409(70),32.70343627942929,1.3306207847830431,0.20705171263908104,0,0.0002(13),0.0030(13),,,,,,,,-0.05(2.79),-4.4(4.6),8.6(3.4),-0.06(4.20),
23,ma_FKFpi_nnlo_alphaS,1.1909(55),-0.00411(70),32.705388241113006,1.3645587338780725,0.18977976514465594,0,-0.0003(13),0.0028(13),,,,,,,,-0.02(2.79),-4.0(4.6),8.2(3.4),-0.05(4.20),
24,ma_FKFpi_nnlo_log_logSq_sunset_FV_bijnens,1.1835(39),-0.00390(69),32.45300174035744,1.4464544724036192,0.1528369867009223,10,-0.0010(11),-0.00046(88),0.00024(12),0.00022(11),-0.0029(15),-0.00010(10),-0.00032(17),0.00015(10),,0.47(68),-0.3(4.5),1.1(2.6),,
25,ma_FKFpi_nnlo_log_logSq_sunset_FV,1.1843(39),-0.00392(69),33.693589017662305,1.3380026823907822,0.2031932292077953,10,-0.0005(44),0.0018(11),10(236)e-06,0.00002(22),0.0023(27),-1(100)e-06,0.00006(34),2(142)e-06,,0.25(71),-0.3(3.8),1.6(2.9),,
26,ma_FKFpi_nnlo_logSq_sunset_FV,1.1890(49),-0.00405(70),34.80869847123346,0.9739746441421244,0.4636153534172254,10,-0.00007(133),0.0025(13),,,,,,,,-0.15(79),-3.8(4.6),7.7(3.5),,
27,ma_FKFpi_nnlo_FV,1.1896(48),-0.00407(70),35.17934955803058,0.93608074637701,0.4982378813529778,10,-0.0005(13),0.0023(13),,,,,,,,-0.12(78),-3.5(4.6),7.2(3.5),,
28,ma_FKFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.1835(46),-0.00390(69),32.2780834586278,1.4464539010524229,0.15283722211113193,10,-0.0010(11),-0.00046(88),0.00024(12),0.00022(11),-0.0029(15),-0.00010(10),-0.00032(17),0.00015(10),,0.5(2.8),-0.3(4.5),1.1(2.6),-0.01(4.20),
29,ma_FKFpi_nnlo_log_logSq_sunset_alphaS_FV,1.1842(46),-0.00392(69),33.518679963466354,1.3379515552690415,0.20321975720555646,10,-0.0005(44),0.0018(11),10(236)e-06,0.00002(22),0.0023(27),-1(100)e-06,0.00006(34),2(142)e-06,,0.3(2.8),-0.3(3.8),1.6(2.9),-0.09(4.20),
30,ma_FKFpi_nnlo_logSq_sunset_alphaS_FV,1.1889(54),-0.00405(70),34.634407939553455,0.9739339676660114,0.4636519315495273,10,-0.00007(133),0.0025(13),,,,,,,,-0.1(2.8),-3.8(4.6),7.7(3.5),-0.08(4.20),
31,ma_FKFpi_nnlo_alphaS_FV,1.1895(53),-0.00407(70),35.00490324878431,0.9360504077501316,0.4982660145589385,10,-0.0005(13),0.0023(13),,,,,,,,-0.07(2.79),-3.5(4.6),7.2(3.5),-0.07(4.20),
32,ma_FpiFpi_nnlo_log_logSq_sunset_bijnens,1.1849(44),-0.00394(69),30.33944706671976,1.8345324452325869,0.049410487110603474,0,0.0010(37),0.00037(82),0.00029(14),0.00034(16),-0.0027(15),-0.00006(10),-0.00033(17),0.00020(10),,0.65(74),-2.0(4.0),2.5(2.0),,
33,ma_FpiFpi_nnlo_log_logSq_sunset,1.1852(45),-0.00395(69),30.99471994701936,1.7404531139741075,0.06587841798783367,0,-0.0008(48),0.0015(11),0.00001(29),0.00004(33),0.0016(29),3(100)e-06,0.00005(34),0.00001(20),,0.56(72),-2.8(3.3),2.0(2.4),,
34,ma_FpiFpi_nnlo_logSq_sunset,1.1891(56),-0.00406(70),32.45621084379795,1.2711427190895506,0.2402567401104374,0,0.0016(26),0.0024(13),,,,,,,,-0.29(99),-4.5(4.5),7.4(3.1),,
35,ma_FpiFpi_nnlo,1.1900(55),-0.00408(70),32.737493086986305,1.250038413350975,0.25296175081714595,0,0.0011(26),0.0025(13),,,,,,,,-0.23(98),-4.4(4.5),7.6(3.1),,
36,ma_FpiFpi_nnlo_log_logSq_sunset_alphaS_bijnens,1.1849(53),-0.00394(70),30.165764652820243,1.8345293168816703,0.0494109662050729,0,0.0010(37),0.00037(82),0.00029(14),0.00034(16),-0.0027(15),-0.00006(10),-0.00033(17),0.00020(10),,0.6(2.8),-2.0(4.0),2.5(2.0),0.02(4.20),
37,ma_FpiFpi_nnlo_log_logSq_sunset_alphaS,1.1852(53),-0.00395(70),30.82085654207362,1.7404502662991868,0.06587898348997982,0,-0.0008(48),0.0015(11),0.00001(29),0.00004(33),0.0016(29),3(100)e-06,0.00005(34),0.00001(20),,0.5(2.8),-2.8(3.3),2.0(2.4),0.02(4.20),
38,ma_FpiFpi_nnlo_logSq_sunset_alphaS,1.1890(63),-0.00405(71),32.283066758314966,1.2709526946406622,0.2403689550400588,0,0.0016(26),0.0024(13),,,,,,,,-0.2(2.8),-4.5(4.5),7.4(3.1),-0.2(4.2),
39,ma_FpiFpi_nnlo_alphaS,1.1899(61),-0.00408(71),32.564229961299894,1.249901446475463,0.2530458084925024,0,0.0011(26),0.0025(13),,,,,,,,-0.1(2.8),-4.4(4.5),7.6(3.1),-0.2(4.2),
40,ma_FpiFpi_nnlo_log_logSq_sunset_FV_bijnens,1.1859(42),-0.00397(69),32.776343758368604,1.400889451141131,0.17258628817553046,10,-0.0006(19),-0.00045(85),0.00029(14),0.00033(16),-0.0028(15),-0.00006(10),-0.00033(17),0.00020(10),,0.91(69),-0.9(4.3),2.2(2.4),,
41,ma_FpiFpi_nnlo_log_logSq_sunset_FV,1.1855(42),-0.00396(69),33.4166962935593,1.3380578610952485,0.2031646020509364,10,-0.0003(49),0.0010(11),10(289)e-06,0.00004(33),0.0014(29),-1(100)e-06,0.00003(34),-2(200)e-06,,0.59(68),-0.7(3.3),3.4(2.1),,
42,ma_FpiFpi_nnlo_logSq_sunset_FV,1.1882(52),-0.00403(70),34.390207406824445,0.9538721696343349,0.4818500745940867,10,0.0010(26),0.0019(13),,,,,,,,-0.21(96),-3.8(4.5),6.5(3.1),,
43,ma_FpiFpi_nnlo_FV,1.1891(49),-0.00406(70),34.995297247711676,0.8811926656060607,0.5500407349368264,10,0.0005(25),0.0019(13),,,,,,,,-0.11(94),-3.5(4.5),6.5(3.1),,
44,ma_FpiFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.1860(52),-0.00397(70),32.603591514776625,1.400754855496112,0.17264757330916713,10,-0.0006(19),-0.00045(85),0.00029(14),0.00033(16),-0.0028(15),-0.00006(10),-0.00033(17),0.00020(10),,0.8(2.8),-0.9(4.3),2.2(2.4),0.2(4.2),
