,name,L_1,L_2,L_3,L_6,L_7,L_8,L_4,L_5,A_k,A_p,A_a,A_loga,A_aa
53,xpt_FKFpi_nnlo_log_logSq_sunset_a4_FV,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(2.6),0.0(2.6),0.0(8.9),,0(66)
54,xpt_FKFpi_nnlo_log_logSq_sunset_FV_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(3.7),,
55,xpt_FKFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(1.6),0.0(1.6),0.0(3.7),,0.00(39)
56,xpt_FKFpi_nnlo_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0(3.1),0.0(3.1),0.0(3.4),0.0(3.4),
57,xpt_FKFpi_nnlo_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.0(5.3),0.0(5.3),0.0(8.3),0.0(8.3),0(81)
58,xpt_FKFpi_nnlo_logSq_alphaS_FV,,,,,,,0.0000(50),0.0000(50),0.0000(21),0.0000(21),0.0(3.5),0.0(3.5),
59,xpt_FKFpi_nnlo_logSq_alphaS_a4_FV,,,,,,,0.0000(50),0.0000(50),0.00000(65),0.00000(65),0.0(5.8),0.0(5.8),0(36)
60,xpt_FKFpi_nnlo_log_logSq_sunset_alphaS_FV,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(3.2),0.0(3.2),
61,xpt_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_FV,0.00000(24),0.00000(22),0.0000(31),0.00000(10),0.00000(34),0.00000(14),0.0000(50),0.0000(50),0.0(1.8),0.0(1.8),0.0(3.2),0.0(3.2),0.00(29)
62,xpt_FKFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(1.7),0.0(1.7),0.0(3.3),0.0(3.3),
63,xpt_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,0.00024(12),0.00022(11),-0.0031(15),-0.00010(10),-0.00034(17),0.00014(10),0.0000(50),0.0000(50),0.0(1.6),0.0(1.6),0.0(3.2),0.0(3.2),0.00(29)
64,xpt_FpiFpi_nnlo,,,,,,,0.0000(50),0.0000(50),0.0(4.6),0.0(4.6),0.0(2.6),,
65,xpt_FpiFpi_nnlo_a4,,,,,,,0.0000(50),0.0000(50),0.0(6.1),0.0(6.1),0.0(9.9),,0(92)
66,xpt_FpiFpi_nnlo_logSq,,,,,,,0.0000(50),0.0000(50),0.00(84),0.00(84),0.0(3.1),,
67,xpt_FpiFpi_nnlo_logSq_a4,,,,,,,0.0000(50),0.0000(50),0.00(84),0.00(84),0.0(3.1),,0.00(93)
68,xpt_FpiFpi_nnlo_log_logSq_sunset,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.00(73),0.00(73),0.0(2.5),,
69,xpt_FpiFpi_nnlo_log_logSq_sunset_a4,0.00000(29),0.00000(33),0.0000(31),0.00000(10),0.00000(34),0.00000(20),0.0000(50),0.0000(50),0.0(1.0),0.0(1.0),0.0(2.6),,0.00(10)
70,xpt_FpiFpi_nnlo_log_logSq_sunset_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(2.7),0.0(2.7),0.0(2.5),,
71,xpt_FpiFpi_nnlo_log_logSq_sunset_a4_bijnens,0.00029(14),0.00033(16),-0.0031(15),-0.00006(10),-0.00034(17),0.00020(10),0.0000(50),0.0000(50),0.0(3.1),0.0(3.1),0.0(8.5),,0(74)
