,name,FK/Fpi,delta_su2,logGBF,chi2/df,Q,vol,po:A_x,po:L_4,po:L_5,po:L_1,po:L_2,po:L_3,po:L_6,po:L_7,po:L_8,po:L_9,po:A_a,po:A_k,po:A_p,po:A_loga,po:A_aa,po:A_ak,po:A_ap,po:A_kk,po:A_kp,po:A_pp,eb:disc,eb:chiral,eb:pp_input,eb:stat
58,xpt_FKFpi_nnlo_log_logSq_sunset_FV_bijnens,1.1856(22),-0.00396(69),55.78586984445108,2.08149544396257,0.005534780741593629,True,,-0.0005(17),-0.00073(50),0.00023(12),0.00021(11),-0.0044(15),-0.00010(10),-0.00040(17),0.00013(10),,-4.02(27),-0.2(8.4),1.2(4.3),,,,,,,,4.353114258349498e-06,0.0002550872227088843,0.0012666309998344387,0.0018268555697766294
59,xpt_FKFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,1.1977(32),-0.00430(70),63.81163153835601,0.6376902826040757,0.8647224952379687,True,,-0.0004(21),-0.00004(54),0.00023(12),0.00022(11),-0.0036(15),-0.00010(10),-0.00035(17),0.00014(10),,-9.7(1.2),-0.6(8.1),2.0(4.1),,75(16),,,,,,5.0284605904622965e-05,0.0006334818860167429,0.0010160958709568948,0.0029856347446517786
60,xpt_FKFpi_nnlo_alphaS_FV,1.2160(65),-0.00481(73),57.87438514078236,1.650978085734864,0.044165693144336486,True,,-0.0013(21),0.00098(56),,,,,,,,-33.1(6.8),-0.9(8.1),4.5(4.2),44(11),,,,,,,0.0007832018271016675,0.0005467520008125998,0.0010684783459508874,0.0063481606501324785
61,xpt_FKFpi_nnlo_alphaS_a4_FV,1.2062(76),-0.00454(73),58.140010944516106,1.1702251802868744,0.2796957816428175,True,,-0.0010(22),0.00161(67),,,,,,,,-13.6(9.9),-2.0(8.2),6.0(4.3),4(18),92(34),,,,,,0.001408753956030864,0.0002513655106589422,0.0004930976279960927,0.007497836280582749
62,xpt_FKFpi_nnlo_log_logSq_sunset_alphaS_FV_bijnens,1.2092(57),-0.00462(72),63.38321265645614,0.9039702115278484,0.5690298771728366,True,,-0.0005(20),-0.00027(52),0.00023(12),0.00021(11),-0.0039(15),-0.00010(10),-0.00037(17),0.00014(10),,-29.4(5.8),-0.3(8.2),1.5(4.2),38.7(8.8),,,,,,,0.0005521109113816882,0.0008219028291968614,0.0013240329090572645,0.005455965827356562
63,xpt_FKFpi_nnlo_log_logSq_sunset_alphaS_a4_FV_bijnens,1.2003(72),-0.00437(72),62.159620724910994,0.6277103792069089,0.8731432276977059,True,,-0.0004(21),-0.00005(54),0.00023(12),0.00022(11),-0.0036(15),-0.00010(10),-0.00036(17),0.00014(10),,-13.6(9.5),-0.5(8.1),1.9(4.1),7(17),65(30),,,,,,0.0012806858416564413,0.00039251308940391216,0.0010606750234635684,0.006951597355681079
64,xpt_FpiFpi_nnlo_FV,1.1929(27),-0.00416(69),52.579064240271684,2.710346698324209,0.00016809321596959292,True,,-0.0014(34),-0.00049(29),,,,,,,,-3.64(18),1.2(6.5),3.4(3.3),,,,,,,,2.8316209277334407e-06,0.00013815586700736978,0.002093765423704243,0.0017647094945132484
65,xpt_FpiFpi_nnlo_a4_FV,1.2071(36),-0.00456(71),61.7722189737583,0.8946465240458178,0.5804311959121379,True,,-0.0005(34),0.00093(50),,,,,,,,-10.1(1.4),-1.6(6.6),5.4(3.3),,87(19),,,,,,6.942167899186201e-05,0.00018208841350952958,0.0005831576474861957,0.0035478714430808907
66,xpt_FpiFpi_nnlo_log_logSq_sunset_FV_bijnens,1.1901(27),-0.00409(69),54.402336883260965,2.298555367590013,0.0017444754780006591,True,,-0.0001(22),-0.00118(51),0.00028(14),0.00029(16),-0.0047(15),-0.00006(10),-0.00038(17),0.00019(10),,-3.43(18),-0.4(8.1),1.1(4.2),,,,,,,,3.21103394790432e-06,0.00012526118318064399,0.0018413892182098527,0.0019763716546133377
67,xpt_FpiFpi_nnlo_log_logSq_sunset_a4_FV_bijnens,1.2029(34),-0.00445(71),63.58824226760385,0.6508697029164314,0.8531763884196188,True,,-0.0002(29),-0.00042(54),0.00029(14),0.00032(16),-0.0036(15),-0.00006(10),-0.00036(17),0.00020(10),,-8.8(1.1),-0.9(7.4),2.3(3.8),,69(14),,,,,,4.3968678596228746e-05,0.0004263665281132121,0.0014002771226013706,0.0031056255386668315
