input used:
# mp0 :  0.130000000000000
# mk0 :  0.450000000000000
# f0  :  0.087700000000000
# mu  :  0.770000000000000
# Li set :  fitBE14
#mu : 0.77
#L1r  L2r  L3r :0.000528552266181 0.000814177210776 -0.00307190158082
#L4r  L5r  L6r :0.0003 0.001014976780543 0.000144108338197
#L7r  L8r  L9r :-0.000342935304325 0.000473156165745 0.00593
#L10r H1r  H2r :0 0 0
output for m_pi L = 2
  0.0001   40   40   6.27356e-10   9.69392e-10   1.20955e-05   1.21004e-05   5.28413e-06   5.28418e-06
   1e-05   80   40   6.27356e-10   9.69392e-10   1.21004e-05   1.21004e-05    5.2845e-06   5.28423e-06
 eps maxonesum maxtwosum meta4loVt   meta4loVb   meta6LloVt    meta6LloVb     meta6RloVt     meta6RloVb
      10    1    1  -1.11804e-05    -8.783e-06  -1.85805e-06  -1.61162e-06    8.9776e-06   7.15429e-06
       1    2    2  -1.11804e-05  -1.07354e-05  -1.85805e-06  -1.82241e-06   8.98822e-06   8.58878e-06
     0.1    5    5  -1.11804e-05  -1.11285e-05  -1.85805e-06  -1.85051e-06   8.92784e-06   8.86239e-06
    0.01   10   10  -1.11804e-05  -1.11612e-05  -1.85901e-06  -1.85198e-06   8.87872e-06   8.87979e-06
   0.001   20   20  -1.11671e-05  -1.11622e-05  -1.86214e-06  -1.85202e-06   8.88039e-06   8.88013e-06
  0.0001   40   40  -1.11678e-05  -1.11622e-05  -1.86068e-06  -1.85202e-06   8.88232e-06    8.8802e-06
   1e-05   80   40    -1.116e-05  -1.11622e-05  -1.85063e-06  -1.85202e-06   8.87761e-06   8.88021e-06
 eps maxonesum maxtwosum  fpi4loVt    fpi4loVb    fpi6LloVt     fpi6LloVb      fpi6RloVt      fpi6RloVb
      10    1    1   -0.00132532   -0.00104226  -6.74385e-06  -4.59035e-06   0.000144122   0.000112205
       1    2    2   -0.00132532   -0.00127332  -6.74385e-06  -6.18618e-06   0.000144122   0.000139896
     0.1    5    5   -0.00132532   -0.00131985  -6.74385e-06  -6.70919e-06   0.000145985   0.000145734
    0.01   10   10   -0.00132532   -0.00132371  -6.74742e-06  -6.78191e-06    0.00014646   0.000146245
   0.001   20   20   -0.00132374   -0.00132383  -6.77455e-06  -6.78538e-06   0.000146262   0.000146258
  0.0001   40   40   -0.00132382   -0.00132383  -6.77671e-06  -6.78542e-06   0.000146251   0.000146256
   1e-05   80   40   -0.00132383   -0.00132383  -6.78554e-06  -6.78542e-06    0.00014626   0.000146256
 eps maxonesum maxtwosum   fk4loVt     fk4loVb     fk6LloVt      fk6LloVb       fk6RloVt       fk6RloVb
      10    1    1  -0.000497039  -0.000390907  -5.50424e-05  -4.28643e-05   3.77504e-05      2.62e-05
       1    2    2  -0.000497039  -0.000477557  -5.50424e-05  -5.27357e-05   3.45083e-05   3.23347e-05
     0.1    5    5  -0.000497039  -0.000495003  -5.50424e-05  -5.48151e-05   3.15368e-05   3.36893e-05
    0.01   10   10  -0.000497039  -0.000496452  -5.50427e-05      -5.5e-05    3.1482e-05   3.42815e-05
   0.001   20   20  -0.000496446  -0.000496495  -5.49852e-05   -5.5006e-05   3.43131e-05   3.43115e-05
  0.0001   40   40  -0.000496476  -0.000496496  -5.49894e-05   -5.5006e-05    3.4318e-05   3.43165e-05
   1e-05   80   40  -0.000496498  -0.000496496  -5.50036e-05   -5.5006e-05   3.43213e-05   3.43164e-05
 eps maxonesum maxtwosum feta4loVt   feta4loVb   feta6LloVt     feta6LloVb     feta6RloVt     feta6RloVb
      10    1    1  -1.09899e-07  -1.45355e-07  -1.06335e-05  -8.05981e-06  -3.74869e-07  -7.60895e-07
